"","Area","Title","Source","Collection","ID","A","B","C","C1","C2","D","E","F","G","H","H1","I","J","J1","J6","K1","K3","K7","L","M1","M3","M","N","MDS1","MDS2","MDS3"
"36","Plateau","Shuswap","Telt, JE, Vol. 2, 687","1900-- Fragmentary",36,2,1,1,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.305841760395801,0.190426391786487,-0.0878281685217567
"37","Plains","Sarsi","Curtis, The Nortlt Amerz.c an Illdl.a ll, Vo I. 18 , 140","n/a",37,3,1,1,0,0,5,4,2,2,1,1,1,4,0,0,3,1,0,1,0,0,0,0,0.100547698816805,-0.0804247089547842,-0.10469916857703
"38","Plains","Blackfoot 1","Wissler and Duvall, Pa AM , Vo I. 2, 58 , no . 3.","Collected 1903-7 in Montana",38,3,1,3,0,2,9,4,2,2,1,1,3,1,2,0,3,4,0,1,2,2,7,5,0.080443773449669,-0.245439705509738,-0.184941465348776
"39","Plains","Blackfoot 2","M.cC lintock ' The Old North Trail (London, 1910), p. 491","1905 in Montana",39,3,1,3,0,2,9,4,2,2,1,1,3,1,2,0,3,4,0,1,0,0,0,1,0.080443773449669,-0.245439705509738,-0.184941465348776
"40","Plains","Gros Ventre 1","Kroeber PaAM, VIo .1, 101 , no. 25","1901",40,3,1,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-0.183636792939425,0.0372893474132168,-0.0412673698130521
"41","Plains","Gros Ventre 2","Kroeber, PaAM, Vol. 1, 100, no. 24.","1901, Ft. Belknap Reservation, Northern Montana",41,3,3,1,0,0,1,1,10,2,1,1,1,4,0,0,3,2,0,1,0,0,0,6,0.298397350624477,0.106563446695425,-0.0229209213022516
"42","Plains","Gros Ventre 3","Kroeber, PaAM, Vol. 1, 90, no. 21.","n/a",42,1,5,0,0,0,1,1,2,2,0,0,1,4,0,0,3,2,0,5,1,0,0,1,0.403975212087461,0.0449593615229453,-0.164620609208142
"43","Plains","Cree 1","Bloomfield, Nat. Mus. Can., Vol. 60, 177, no. 21","1925, Battleford Agency, Saskatchewan.",43,1,7,2,0,1,0,3,2,2,1,1,2,2,0,0,3,2,0,5,0,0,0,1,0.341515375636209,-0.330187985038166,-0.0917003226622711
"44","Plains","Cree 2","Bloomfield, Nat. Mus. Can., Vol. 60, 314, no. 34.","1925, Battleford Agency, Saskatchewan",44,2,1,0,0,0,4,4,4,1,0,0,2,2,0,0,10,6,0,1,0,3,0,3,-0.293674938849526,-0.117863167705386,-0.00922199797591267
"45","Plains","Cree 3","Skinner, PaAM, Vol. 9, 113","1908 from Rupert House Cree (Southeast shore James Bay)",45,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17510199517237,0.0951965029382933,-0.0164057527244453
"46","Plains","Assiniboine","Lowie, PaAM, Vol. 4, 171, no. 18","1907, Morley, Alberta",46,2,1,1,2,0,0,4,4,1,1,0,1,1,0,0,10,4,1,1,0,0,0,3,-0.105911024664048,0.0454278739879235,-0.010114448981086
"47","Plains","Arikara 1","Dorsey, CI, Vol. 17,45, no. 14.","1903, Ft. Berthold Reservation, North Dakota",47,3,3,1,1,0,1,4,3,2,1,3,1,2,0,0,3,2,0,5,0,0,0,1,0.193866775569218,0.0466836080128585,-0.148441123868806
"48","Plains","Arikara 2","Dorsey, CI, Vol. 17, 56, no. 15","1903, Ft. Berthold Reservation, North Dakota",48,3,1,1,1,0,4,4,0,2,1,1,1,2,0,0,3,2,0,5,0,0,0,1,0.0381466100062266,-0.0616153306489657,0.0381338826415194
"49","Plains","Hidatsa 1","Lowie, DCal, Vol. 40, 2.","1910-11 at Ft. Berthold Reservation, North Dakota",49,3,5,0,0,0,1,1,0,2,3,1,1,0,0,0,3,2,0,5,1,0,0,1,0.421678163527148,0.0800965674677554,-0.0652889148097737
"50","Plains","Hidatsa 2","Beckwith, MAFLS, Vol. 32, 117","1931",50,3,5,0,0,0,1,1,0,2,3,1,1,1,0,0,3,2,0,5,1,0,0,1,0.421678163527148,0.0800965674677554,-0.0652889148097737
"51","Plains","Crow 1","Lowie, PaAM, Vol. 25, 52","1914, Crow Reservation,Montana",51,1,5,2,0,2,1,3,0,2,1,1,1,1,0,0,3,2,0,5,1,0,0,1,0.46296510338927,-0.0493331549893701,0.0173847526523164
"52","Plains","Crow 2","Lowie PaAM V I 25 57","1914, Crow Reservation, Montana",52,3,2,2,0,3,1,7,0,2,3,1,1,4,0,0,5,2,0,5,0,0,0,1,0.511017408789262,0.140968493804646,0.106916441793504
"53","Plains","Crow 3","Lowie PaAM Vol 25 69","1914, Crow Reservation, Montana",53,3,2,2,0,2,2,7,0,2,3,1,1,4,0,0,3,2,0,5,2,0,0,1,0.481340263336758,0.0879807100326785,0.244852848258846
"54","Plains","Crow 4","Simms FM, Vol. 2, 299, no. 17","1902 from an old man",54,1,5,2,0,2,1,3,0,2,3,0,1,4,0,0,5,2,0,5,0,0,0,1,0.491626798074065,-0.00569812123861506,-0.0619234460101863
"55","Plains","Cheyenne","Grinnell, JAFL, Vol. 34, 308","Collected ""many years"" before 1921from White Bull, a Northern Cheyenne",55,3,3,1,0,0,3,4,3,2,1,1,1,0,0,0,3,7,0,5,0,0,0,1,0.183566831024053,-0.00784384439135677,-0.148706330265689
"56","Plains","Dakota 1","Riggs CNAE Vol 9 90","Santee Dakota 1837-1883",56,3,1,1,0,0,4,4,4,2,1,1,1,0,0,0,6,0,0,5,0,0,0,1,0.0280267746809464,-0.0938154022654338,-0.000213675215844113
"57","Plains","Dakota 2","Wallis, JAFL, Vol. 36, 85, no 19","1914 at Griswold, Manitoba",57,3,0,0,0,0,0,5,0,2,1,1,1,0,0,0,6,0,0,5,0,0,0,1,0.267258180247077,-0.0140549525711404,0.0418196131175083
"58","Plains","Arapaho 1","Dorsey and Kroeber, FM, Vol. 5,330, no. 135","before 1903",58,3,2,2,0,2,3,6,0,1,1,1,1,0,0,0,3,2,0,1,0,0,0,0,0.274155171605726,0.288967520469984,0.277760015836118
"59","Plains","Arapaho 2","Dorsey, FM, Vol. 4, 212","1903",59,3,2,0,0,0,1,1,2,2,1,1,1,0,0,0,3,2,0,5,1,0,3,1,0.387564410095717,-0.00466277920722787,-0.0808527546894372
"60","Plains","Arapaho 3","Dorsey and Kroeber, FM, Vol. 5, 321, no. 134","collected before 1903",60,3,4,3,0,2,3,1,2,2,1,1,1,0,0,0,3,2,0,5,1,0,0,1,0.298260983972255,-0.152613440850882,0.0281542177150973
"61","Plains","Arapaho 4","Dorsey and Kroeber, FM, Vol. 5, 332, no. 136","collected before 1903",61,3,5,0,0,0,3,1,0,2,1,1,1,0,0,0,3,2,0,5,1,0,0,1,0.398734570488461,-0.0379924732517526,0.11121611691254
"62","Plains","Arapaho 5","Dorsey and Kroeber, FM, Vol. 5, 339, no. 137.","collected before 1903",62,1,2,0,0,0,1,1,2,2,0,0,3,0,0,0,3,2,0,1,1,0,0,1,0.347067253612612,-0.0628197422226,-0.360234058406285
"63","Plains","Arapaho 6","Dorsey and Kroeber, FM, Vol. 5, 339, note 3.","collected before 1903",63,3,2,2,0,3,1,1,0,2,0,0,1,0,0,0,3,2,0,5,0,0,0,1,0.462968394242445,0.104335374800151,-6.1848414991947e-05
"64","Plains","Arapaho 7","Dorsey.and Kroeber, FM, Vol. 5, 340, no. 138","collected before 1903",64,3,5,2,0,2,1,3,2,2,1,1,1,0,0,0,0,0,0,5,0,0,0,1,0.427561024274444,-0.0798642975704108,-0.0266700323171125
