Area,Title,Source,Collection,ID,A,B,C,C1,C2,D,E,F,G,H,H1,I,J,J1,J6,K1,K3,K7,L,M1,M3,M,N
Plains,Cree 1,"Bloomfield, Nat. Mus. Can., Vol. 60, 177, no. 21","1925, Battleford Agency, Saskatchewan.",43,1,7,2,0,1,0,3,2,2,1,1,2,2,0,0,3,2,0,5,0,0,0,1
Plains,Cree 2,"Bloomfield, Nat. Mus. Can., Vol. 60, 314, no. 34.","1925, Battleford Agency, Saskatchewan",44,2,1,0,0,0,4,4,4,1,0,0,2,2,0,0,10,6,0,1,0,3,0,3
Plains,Cree 3,"Skinner, PaAM, Vol. 9, 113",1908 from Rupert House Cree (Southeast shore James Bay),45,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plains,Assiniboine,"Lowie, PaAM, Vol. 4, 171, no. 18","1907, Morley, Alberta",46,2,1,1,2,0,0,4,4,1,1,0,1,1,0,0,10,4,1,1,0,0,0,3
Plains,Arikara 1,"Dorsey, CI, Vol. 17,45, no. 14.","1903, Ft. Berthold Reservation, North Dakota",47,3,3,1,1,0,1,4,3,2,1,3,1,2,0,0,3,2,0,5,0,0,0,1
Plains,Arikara 2,"Dorsey, CI, Vol. 17, 56, no. 15","1903, Ft. Berthold Reservation, North Dakota",48,3,1,1,1,0,4,4,0,2,1,1,1,2,0,0,3,2,0,5,0,0,0,1
Plains,Hidatsa 1,"Lowie, DCal, Vol. 40, 2.","1910-11 at Ft. Berthold Reservation, North Dakota",49,3,5,0,0,0,1,1,0,2,3,1,1,0,0,0,3,2,0,5,1,0,0,1
Plains,Hidatsa 2,"Beckwith, MAFLS, Vol. 32, 117",1931,50,3,5,0,0,0,1,1,0,2,3,1,1,1,0,0,3,2,0,5,1,0,0,1
Plains,Crow 1,"Lowie, PaAM, Vol. 25, 52","1914, Crow Reservation,Montana",51,1,5,2,0,2,1,3,0,2,1,1,1,1,0,0,3,2,0,5,1,0,0,1
Plains,Crow 2,Lowie PaAM V I 25 57,"1914, Crow Reservation, Montana",52,3,2,2,0,3,1,7,0,2,3,1,1,4,0,0,5,2,0,5,0,0,0,1
Plains,Crow 3,Lowie PaAM Vol 25 69,"1914, Crow Reservation, Montana",53,3,2,2,0,2,2,7,0,2,3,1,1,4,0,0,3,2,0,5,2,0,0,1
Plains,Crow 4,"Simms FM, Vol. 2, 299, no. 17",1902 from an old man,54,1,5,2,0,2,1,3,0,2,3,0,1,4,0,0,5,2,0,5,0,0,0,1
Plains,Cheyenne,"Grinnell, JAFL, Vol. 34, 308","Collected ""many years"" before 1921from White Bull, a Northern Cheyenne",55,3,3,1,0,0,3,4,3,2,1,1,1,0,0,0,3,7,0,5,0,0,0,1
Plains,Dakota 1,Riggs CNAE Vol 9 90,Santee Dakota 1837-1883,56,3,1,1,0,0,4,4,4,2,1,1,1,0,0,0,6,0,0,5,0,0,0,1
Plains,Dakota 2,"Wallis, JAFL, Vol. 36, 85, no 19","1914 at Griswold, Manitoba",57,3,0,0,0,0,0,5,0,2,1,1,1,0,0,0,6,0,0,5,0,0,0,1
Plains,Arapaho 1,"Dorsey and Kroeber, FM, Vol. 5,330, no. 135",before 1903,58,3,2,2,0,2,3,6,0,1,1,1,1,0,0,0,3,2,0,1,0,0,0,0
Plains,Arapaho 2,"Dorsey, FM, Vol. 4, 212",1903,59,3,2,0,0,0,1,1,2,2,1,1,1,0,0,0,3,2,0,5,1,0,3,1
Plains,Arapaho 3,"Dorsey and Kroeber, FM, Vol. 5, 321, no. 134",collected before 1903,60,3,4,3,0,2,3,1,2,2,1,1,1,0,0,0,3,2,0,5,1,0,0,1
Plains,Arapaho 4,"Dorsey and Kroeber, FM, Vol. 5, 332, no. 136",collected before 1903,61,3,5,0,0,0,3,1,0,2,1,1,1,0,0,0,3,2,0,5,1,0,0,1
Plains,Arapaho 5,"Dorsey and Kroeber, FM, Vol. 5, 339, no. 137.",collected before 1903,62,1,2,0,0,0,1,1,2,2,0,0,3,0,0,0,3,2,0,1,1,0,0,1
Plains,Arapaho 6,"Dorsey and Kroeber, FM, Vol. 5, 339, note 3.",collected before 1903,63,3,2,2,0,3,1,1,0,2,0,0,1,0,0,0,3,2,0,5,0,0,0,1
Plains,Arapaho 7,"Dorsey.and Kroeber, FM, Vol. 5, 340, no. 138",collected before 1903,64,3,5,2,0,2,1,3,2,2,1,1,1,0,0,0,0,0,0,5,0,0,0,1
Plains,Arapaho 8,Salzmann manuscript,"July 1949 from John B. Goggles, aged 63 in Ethete, Wyoming, by Zdenek Salzmann",65,3,1,1,0,0,2,4,10,2,1,1,1,2,0,0,7,0,1,5,0,0,0,1
